DPLL;0;2
DPLL;0;4
DPLL;0;5
DPLL;0;7
DPLL;0;8
DPLL;0;9
DPLL;0;12
DPLL;0;17
DPLL;0;18
DPLL;0;19
DPLL;0;20
DPLL;0;21
DPLL;0;24
DPLL;0;29
DPLL;0;30
DPLL;0;32
DPLL;0;34
DPLL;0;39
DPLL;0;42
DPLL;0;43
DPLL;0;47
DPLL;0;48
DPLL;0;51
DPLL;0;52
DPLL;0;54
DPLL;0;57
DPLL;0;58
DPLL;0;62
DPLL;0;64
DPLL;0;65
DPLL;0;67
DPLL;0;69
DPLL;0;70
DPLL;0;75
DPLL;0;76
DPLL;0;77
DPLL;0;78
DPLL;0;83
DPLL;0;85
DPLL;0;88
DPLL;0;94
DPLL;0;95
DPLL;0;100
DPLL;0;101
DPLL;0;102
DPLL;0;105
DPLL;0;106
DPLL;0;107
DPLL;0;110
DPLL;0;112
DPLL;0;114
DPLL;0;118
DPLL;0;127
DPLL;0;135
DPLL;0;136
DPLL;0;138
DPLL;0;145
DPLL;0;147
DPLL;0;150
DPLL;0;151
DPLL;0;156
DPLL;0;160
DPLL;0;161
DPLL;0;162
DPLL;0;163
DPLL;0;165
DPLL;0;170
DPLL;0;171
DPLL;0;174
DPLL;0;180
DPLL;0;183
DPLL;0;184
DPLL;0;185
DPLL;0;187
DPLL;0;189
DPLL;0;196
DPLL;0;201
DPLL;0;202
DPLL;0;204
DPLL;0;211
DPLL;0;218
DPLL;0;219
DPLL;0;222
DPLL;0;223
DPLL;0;225
DPLL;0;228
DPLL;0;233
DPLL;0;236
DPLL;0;238
DPLL;0;241
DPLL;0;242
DPLL;0;248
DPLL;0;249
MOM;0;2
MOM;0;4
MOM;0;5
MOM;0;7
MOM;0;8
MOM;0;9
MOM;0;12
MOM;0;17
MOM;0;18
MOM;0;19
MOM;0;20
MOM;0;21
MOM;0;24
MOM;0;29
MOM;0;30
MOM;0;32
MOM;0;34
MOM;0;39
MOM;0;42
MOM;0;43
MOM;0;47
MOM;0;48
MOM;0;51
MOM;0;52
MOM;0;54
MOM;0;57
MOM;0;58
MOM;0;62
MOM;0;64
MOM;0;65
MOM;0;67
MOM;0;69
MOM;0;70
MOM;0;75
MOM;0;76
MOM;0;77
MOM;0;78
MOM;0;83
MOM;0;85
MOM;0;88
MOM;0;94
MOM;0;95
MOM;0;100
MOM;0;101
MOM;0;102
MOM;0;105
MOM;0;106
MOM;0;107
MOM;0;110
MOM;0;112
MOM;0;114
MOM;0;118
MOM;0;127
MOM;0;135
MOM;0;136
MOM;0;138
MOM;0;145
MOM;0;147
MOM;0;150
MOM;0;151
MOM;0;156
MOM;0;160
MOM;0;161
MOM;0;162
MOM;0;163
MOM;0;165
MOM;0;170
MOM;0;171
MOM;0;174
MOM;0;180
MOM;0;183
MOM;0;184
MOM;0;185
MOM;0;187
MOM;0;189
MOM;0;196
MOM;0;201
MOM;0;202
MOM;0;204
MOM;0;211
MOM;0;218
MOM;0;219
MOM;0;222
MOM;0;223
MOM;0;225
MOM;0;228
MOM;0;233
MOM;0;236
MOM;0;238
MOM;0;241
MOM;0;242
MOM;0;248
MOM;0;249
JW;0;2
JW;0;4
JW;0;5
JW;0;7
JW;0;8
JW;0;9
JW;0;12
JW;0;17
JW;0;18
JW;0;19
JW;0;20
JW;0;21
JW;0;24
JW;0;29
JW;0;30
JW;0;32
JW;0;34
JW;0;39
JW;0;42
JW;0;43
JW;0;47
JW;0;48
JW;0;51
JW;0;52
JW;0;54
JW;0;57
JW;0;58
JW;0;62
JW;0;64
JW;0;65
JW;0;67
JW;0;69
JW;0;70
JW;0;75
JW;0;76
JW;0;77
JW;0;78
JW;0;83
JW;0;85
JW;0;88
JW;0;94
JW;0;95
JW;0;100
JW;0;101
JW;0;102
JW;0;105
JW;0;106
JW;0;107
JW;0;110
JW;0;112
JW;0;114
JW;0;118
JW;0;127
JW;0;135
